"","X","id.s","host_species","host_genus","host_order","host_class","gbif_id","iso3c","coord_status","coordinate_resolution_processed","gadm_adm1","gadm_adm2","gadm_adm3","start_date","end_date","temporal_resolution","number_of_hosts","trap_nights_clean","trap_nights_status","host_species_original","host_genus_original","event_date_raw","pathogen_record_id","pathogen_species_cleaned","pathogen_species_ncbi","ncbi_id","number_tested","number_positive","number_negative","number_inconclusive","pathogen_species_original","note","mean","Mahalanobis_dist","Marginality","Specificity","Suitability","mean.1","Centroid_d","Boundary_d","in_range_d","bp_X","bp_Y","Centroid_r","Boundary_r","in_range_r"
"11",18825,"david_237 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.16_1","CHL.16.7_1","CHL.16.7.6_1","2018-01-01","2018-12-31","year_only",16,495,"trapnight_reported","Abrothrix longipilis","Abrothrix","2018","david_344","Orthohantavirus andesense","Orthohantavirus andesense","1980456",16,0,16,0,"Andes orthohantavirus",NA,NA,0.00159679993521422,0.00159679993521422,0.00159679993521422,0.00159679993521422,NA,714.260748684453,3.39017097233099,FALSE,-71.703,-33.138,1098.10853526434,1.88603266480078,TRUE
"12",18945,"david_238 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.14_1","CHL.14.1_1","CHL.14.1.3_1","2010-01-01","2010-12-31","year_only",0,300,"trapnight_reported","Abrothrix longipilis","Abrothrix","2010","david_345","Orthohantavirus andesense","Orthohantavirus andesense","1980456",0,0,0,0,"Andes orthohantavirus",NA,0.47913447022438,11.2964181900024,-164.391296386719,0.279566377401352,0.0102264080196619,1,720.214191342819,23.2228893255016,TRUE,-70.79,-33.165,1092.46361271697,71.497503198776,TRUE
"13",19065,"david_239 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.14_1","CHL.14.4_1","CHL.14.4.2_1","2004-01-01","2004-12-31","year_only",0,300,"trapnight_reported","Abrothrix longipilis","Abrothrix","2004","david_346","Orthohantavirus andesense","Orthohantavirus andesense","1980456",0,0,0,0,"Andes orthohantavirus",NA,0.758970320224762,6.16246938705444,-58.6571960449219,-0.119157642126083,0.103967808187008,1,687.297439053856,52.3437433298541,TRUE,-71.021,-33.436,1062.53218175543,55.0924160652544,TRUE
"14",19186,"david_240 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.14_1","CHL.14.5_1","CHL.14.5.12_1","2003-01-01","2003-12-31","year_only",0,150,"trapnight_reported","Abrothrix longipilis","Abrothrix","2003","david_347","Orthohantavirus andesense","Orthohantavirus andesense","1980456",0,0,0,0,"Andes orthohantavirus",NA,0.944079041481018,4.46091604232788,-4.13266658782959,0.233273923397064,0.21580308675766,1,693.006414359777,5.46027559383442,TRUE,-70.517,-33.456,1060.5350418506,76.2590798454121,TRUE
"15",19287,"david_241 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.14_1","CHL.14.3_1","CHL.14.3.4_1","2013-01-01","2013-12-31","year_only",0,600,"trapnight_reported","Abrothrix longipilis","Abrothrix","2013","david_348","Orthohantavirus andesense","Orthohantavirus andesense","1980456",0,0,0,0,"Andes orthohantavirus",NA,0.577424585819244,16.1554107666016,-116.551094055176,0.477199822664261,0.00105374807026237,1,680.377665087498,22.5883569271993,TRUE,-70.696,-33.543,1050.59876738699,84.0370838422568,TRUE
"16",19426,"david_242 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.14_1","CHL.14.2_1","CHL.14.2.3_1","2004-01-01","2004-12-31","year_only",0,255,"trapnight_reported","Abrothrix longipilis","Abrothrix","2004","david_349","Orthohantavirus andesense","Orthohantavirus andesense","1980456",0,0,0,0,"Andes orthohantavirus",NA,0.931202173233032,2.9372398853302,27.847806930542,0.0941188484430313,0.401403099298477,1,683.345906754677,6.21078118568512,TRUE,-70.454,-33.556,1049.60425691891,74.3165606141478,TRUE
"17",19527,"david_243 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.14_1","CHL.14.2_1","CHL.14.2.2_1","2005-01-01","2005-12-31","year_only",1,270,"trapnight_reported","Abrothrix longipilis","Abrothrix","2005","david_350","Orthohantavirus andesense","Orthohantavirus andesense","1980456",1,0,1,0,"Andes orthohantavirus",NA,0.929231464862823,1.41541528701782,79.2789764404297,0.14291051030159,0.701925337314606,1,680.990892854159,9.85962259193384,TRUE,-70.532,-33.564,1048.52667911033,81.4562304890358,TRUE
"18",19628,"david_244 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.14_1","CHL.14.4_1","CHL.14.4.4_1","2012-01-01","2012-12-31","year_only",0,300,"trapnight_reported","Abrothrix longipilis","Abrothrix","2012","david_351","Orthohantavirus andesense","Orthohantavirus andesense","1980456",0,0,0,0,"Andes orthohantavirus",NA,0.476599991321564,1.81293070316315,32.0689163208008,0.0893358513712883,0.612125098705292,1,670.761458129523,37.4489027922967,TRUE,-71.18,-33.569,1048.09438271142,39.2144507553969,TRUE
"19",19729,"david_245 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.16_1","CHL.16.5_1","CHL.16.5.5_1","2001-01-01","2001-12-31","year_only",0,225,"trapnight_reported","Abrothrix longipilis","Abrothrix","2001","david_352","Orthohantavirus andesense","Orthohantavirus andesense","1980456",0,0,0,0,"Andes orthohantavirus",NA,0.630375027656555,4.65594148635864,-46.8512649536133,-0.103934399783611,0.198795333504677,1,659.152737113373,2.74679168676733,TRUE,-71.563,-33.643,1041.40375591344,6.43436476418665,TRUE
"20",19830,"david_246 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.14_1","CHL.14.4_1","CHL.14.4.4_1","2006-01-01","2006-12-31","year_only",0,450,"trapnight_reported","Abrothrix longipilis","Abrothrix","2006","david_353","Orthohantavirus andesense","Orthohantavirus andesense","1980456",0,0,0,0,"Andes orthohantavirus",NA,0.503548324108124,0.892173886299133,4.99324941635132,0.07611283659935,0.827315986156464,1,661.855081795078,37.6144946389833,TRUE,-71.179,-33.65,1039.11107323883,40.718785220534,TRUE
"21",19931,"david_247 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.14_1","CHL.14.4_1","CHL.14.4.4_1","2013-01-01","2013-12-31","year_only",0,312,"trapnight_reported","Abrothrix longipilis","Abrothrix","2013","david_354","Orthohantavirus andesense","Orthohantavirus andesense","1980456",0,0,0,0,"Andes orthohantavirus",NA,0.686820328235626,1.34340226650238,4.99081897735596,0.130416765809059,0.71885347366333,1,659.311856215025,37.7912916581607,TRUE,-71.18,-33.673,1036.56352645536,41.1207156163374,TRUE
"22",20032,"david_248 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.14_1","CHL.14.6_1","CHL.14.6.5_1","2006-01-01","2006-12-31","year_only",0,300,"trapnight_reported","Abrothrix longipilis","Abrothrix","2006","david_355","Orthohantavirus andesense","Orthohantavirus andesense","1980456",0,0,0,0,"Andes orthohantavirus",NA,0.601288378238678,4.82501316070557,-31.6489410400391,0.266980886459351,0.185068234801292,1,663.349124104707,36.3644098145393,TRUE,-70.845,-33.677,1035.67189991945,71.7827892959781,TRUE
"23",20133,"david_249 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.14_1","CHL.14.6_1","CHL.14.6.5_1","2001-01-01","2001-12-31","year_only",0,240,"trapnight_reported","Abrothrix longipilis","Abrothrix","2001","david_356","Orthohantavirus andesense","Orthohantavirus andesense","1980456",0,0,0,0,"Andes orthohantavirus",NA,0.546578466892242,4.62274122238159,-32.367977142334,0.266080498695374,0.201599881052971,1,662.426495239925,38.8000554994045,TRUE,-70.877,-33.681,1035.23550442872,68.9248241138494,TRUE
"24",20235,"david_250 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.14_1","CHL.14.4_1","CHL.14.4.4_1","2003-01-01","2003-12-31","year_only",0,300,"trapnight_reported","Abrothrix longipilis","Abrothrix","2003","david_357","Orthohantavirus andesense","Orthohantavirus andesense","1980456",0,0,0,0,"Andes orthohantavirus",NA,0.575917661190033,1.93083417415619,-0.563337683677673,0.0810337141156197,0.586885690689087,1,652.070748355779,36.0945888568454,TRUE,-71.217,-33.735,1029.78978627656,39.6178693714595,TRUE
"25",20336,"david_251 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.16_1","CHL.16.5_1","CHL.16.5.6_1","2002-01-01","2002-12-31","year_only",12,300,"trapnight_reported","Abrothrix longipilis","Abrothrix","2002","david_358","Orthohantavirus andesense","Orthohantavirus andesense","1980456",12,0,12,0,"Andes orthohantavirus",NA,NA,0.313926875591278,0.313926875591278,0.313926875591278,0.313926875591278,NA,647.529861156875,0.776601770965985,FALSE,-71.652,-33.743,1030.84015702195,2.84360196475273,TRUE
"26",20437,"david_252 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.14_1","CHL.14.2_1","CHL.14.2.3_1","2002-01-01","2002-12-31","year_only",0,300,"trapnight_reported","Abrothrix longipilis","Abrothrix","2002","david_359","Orthohantavirus andesense","Orthohantavirus andesense","1980456",0,0,0,0,"Andes orthohantavirus",NA,0.745193004608154,14.7067546844482,0.156705245375633,0.198139473795891,0.00208519492298365,1,662.820594262466,3.99294461822113,TRUE,-70.248,-33.786,1024.83519942179,59.096909039446,TRUE
"27",20538,"david_253 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.14_1","CHL.14.4_1","CHL.14.4.4_1","2001-01-01","2001-12-31","year_only",0,210,"trapnight_reported","Abrothrix longipilis","Abrothrix","2001","david_360","Orthohantavirus andesense","Orthohantavirus andesense","1980456",0,0,0,0,"Andes orthohantavirus",NA,0.839346051216125,0.549786329269409,68.2314682006836,0.04460758715868,0.90782505273819,1,644.293757677016,44.8207077046438,TRUE,-71.147,-33.813,1020.95935582676,48.0686097393851,TRUE
"28",20639,"david_254 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.14_1","CHL.14.3_1","CHL.14.3.3_1","2004-01-01","2004-12-31","year_only",0,300,"trapnight_reported","Abrothrix longipilis","Abrothrix","2004","david_361","Orthohantavirus andesense","Orthohantavirus andesense","1980456",0,0,0,0,"Andes orthohantavirus",NA,0.609665393829346,1.45287239551544,83.0308685302734,0.143154948949814,0.693189263343811,1,642.591750091831,31.1816915726337,TRUE,-70.837,-33.868,1014.48586719749,77.2793404703652,TRUE
"29",20740,"david_255 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.8_1","CHL.8.2_1","CHL.8.2.2_1","2013-01-01","2013-12-31","year_only",0,450,"trapnight_reported","Abrothrix longipilis","Abrothrix","2013","david_362","Orthohantavirus andesense","Orthohantavirus andesense","1980456",0,0,0,0,"Andes orthohantavirus",NA,0.577512323856354,8.33897686004639,-11.7317218780518,-0.112442806363106,0.0395017191767693,1,619.314427578945,15.9013372557321,TRUE,-71.65,-33.998,1002.60520152017,19.8301951240922,TRUE
"30",20841,"david_256 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.8_1","CHL.8.1_1","CHL.8.1.6_1","2002-01-01","2002-12-31","year_only",1,300,"trapnight_reported","Abrothrix longipilis","Abrothrix","2002","david_363","Orthohantavirus andesense","Orthohantavirus andesense","1980456",1,0,1,0,"Andes orthohantavirus",NA,0.789842545986176,0.909770369529724,1.8115599155426,0.0822715312242508,0.823069393634796,1,614.269346744355,45.8527452674924,TRUE,-71.3,-34.07,992.920314967079,51.4884156526745,TRUE
"31",20942,"david_257 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.8_1","CHL.8.1_1","CHL.8.1.7_1","2002-01-01","2002-12-31","year_only",0,145,"trapnight_reported","Abrothrix longipilis","Abrothrix","2002","david_364","Orthohantavirus andesense","Orthohantavirus andesense","1980456",0,0,0,0,"Andes orthohantavirus",NA,0.71105945110321,10.1029434204102,254.222747802734,0.436725497245789,0.0177110452204943,1,613.084003161584,10.0335389317408,TRUE,-70.534,-34.19,979.106212862698,89.9932536100781,TRUE
"32",21043,"david_258 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.8_1","CHL.8.1_1","CHL.8.1.17_1","2011-01-01","2011-12-31","year_only",0,714,"trapnight_reported","Abrothrix longipilis","Abrothrix","2011","david_365","Orthohantavirus andesense","Orthohantavirus andesense","1980456",0,0,0,0,"Andes orthohantavirus",NA,0.480429440736771,3.16582703590393,182.330673217773,0.188622087240219,0.366757780313492,1,577.25429185587,40.5359904355286,TRUE,-71.069,-34.433,952.038624816134,83.9194614099792,TRUE
