"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"m1centrality_within_spatial",0,0,-2318.10826377592,68.2344223100864,50.5040937607562,2.81986728831594,4636.21652755184,136.468844620173
"m2suit_marg_raw_additive_spatial",-0.0480160465591339,0.556546632096453,-2318.15627982247,68.2774555126825,50.977067376152,2.90098339348103,4636.31255964494,136.554911025365
"m2suit_marg_within_additive_spatial",-0.770476664182782,0.765528620459624,-2318.8787404401,68.2392596067708,51.5679770658785,2.87447162763148,4637.7574808802,136.478519213542
"m2suit_marg_raw_interaction_spatial",-0.787391763040942,1.19162005418728,-2318.89565553896,68.3525072808967,51.8202960343731,2.90391969017241,4637.79131107792,136.705014561793
"m2suit_marg_within_interaction_spatial",-1.80504522863334,1.08935662573169,-2319.91330900456,68.2766701222408,52.2009062151086,2.96890435126966,4639.82661800912,136.553340244482
"m2boundary_marg_raw_additive_spatial",-2.52033825208076,3.22397884630672,-2320.628602028,68.2151135099807,49.94484606826,2.79611837464285,4641.257204056,136.430227019961
"m1suit_within_spatial",-2.67113953557351,2.60717969249993,-2320.77940331149,68.2593930170379,49.6612188908485,2.81243089208919,4641.55880662298,136.518786034076
"m1suit_raw_spatial",-2.80545053207015,2.58367944735999,-2320.91371430799,68.305078957186,50.6573869451327,2.85857007279456,4641.82742861598,136.610157914372
"m2boundary_marg_within_interaction_spatial",-3.06447697093942,3.78606097428882,-2321.17274074686,68.1936277820858,51.0238118473703,2.85809549044457,4642.34548149372,136.387255564172
"m2suit_spec_raw_interaction_spatial",-3.07718619325302,2.54275004406764,-2321.18544996917,68.2813277258733,51.4338620675258,2.84148376315623,4642.37089993833,136.562655451747
"m1marg_within_spatial",-3.14620258770264,2.86484914300644,-2321.25446636363,68.1422940481441,48.4187098999118,2.76385777398095,4642.50893272725,136.284588096288
"m2centroid_suit_raw_additive_spatial",-3.18372634858463,2.51967880539067,-2321.2919901245,68.3092214909101,50.799466543005,2.81563086608688,4642.583980249,136.61844298182
"m2boundary_marg_within_additive_spatial",-3.4225906748813,3.16496735188148,-2321.5308544508,68.2389508751892,50.7930692394435,2.84638101691554,4643.0617089016,136.477901750378
"m2centroid_suit_within_interaction_spatial",-3.66674939753533,2.75209305990081,-2321.77501317346,68.3001250784941,51.5921988854059,2.86085668476395,4643.55002634692,136.600250156988
"m2centroid_suit_raw_interaction_spatial",-3.76304718878377,2.99225245483534,-2321.87131096471,68.2878480396151,52.4373364238038,2.93157330049737,4643.74262192941,136.57569607923
"m2suit_spec_raw_additive_spatial",-3.82509680414586,2.61296722808849,-2321.93336058007,68.3491515619451,51.4916971160193,2.88553743400588,4643.86672116013,136.69830312389
"m2suit_spec_within_additive_spatial",-4.02603279233799,2.6526670952354,-2322.13429656826,68.3119061586626,50.9951382352146,2.88573368344872,4644.26859313651,136.623812317325
"m2suit_spec_within_interaction_spatial",-4.32234479604101,2.70295639461104,-2322.43060857196,68.3180301896093,52.5257933274039,2.89968776487519,4644.86121714391,136.636060379219
"m2prob_marg_within_interaction_spatial",-4.47598820711327,3.29634257196296,-2322.58425198304,68.195290883807,50.3627446702522,2.82987224026175,4645.16850396607,136.390581767614
"m2marg_spec_within_additive_spatial",-4.50474370075873,2.93069548964987,-2322.61300747668,68.2104744412818,50.3004506089468,2.82957767808248,4645.22601495336,136.420948882564
"m2boundary_marg_raw_interaction_spatial",-4.53241434329984,3.40432883535753,-2322.64067811922,68.2291785482676,52.1929929488311,2.91736214373232,4645.28135623843,136.458357096535
"m2centroid_suit_within_additive_spatial",-4.62013756221426,2.63618960108648,-2322.72840133813,68.3137362890585,51.5637201115035,2.88620288560173,4645.45680267627,136.627472578117
"m1boundary_within_spatial",-4.64403756621561,3.85730080397108,-2322.75230134213,68.2026464722074,48.7954021618148,2.74795750949714,4645.50460268426,136.405292944415
"m1marg_raw_spatial",-4.88487781116248,2.87292606800185,-2322.99314158708,68.1491259897781,49.2029327434675,2.7399997679807,4645.98628317416,136.298251979556
"m1boundary_raw_spatial",-5.00765185888111,3.92101517141138,-2323.1159156348,68.2490749379268,49.0445962048111,2.72112540532057,4646.2318312696,136.498149875854
"m2prob_marg_within_additive_spatial",-5.28842668314937,2.84640990926557,-2323.39669045907,68.2048961975357,50.6444991027947,2.86968426943362,4646.79338091814,136.409792395071
"m2marg_spec_raw_additive_spatial",-5.39043924926899,2.89438364132092,-2323.49870302519,68.1847693667536,50.2063550836495,2.81178654887676,4646.99740605037,136.369538733507
"m2prob_marg_raw_additive_spatial",-5.47762069445024,2.85804592967343,-2323.58588447037,68.178689063111,50.0201249279074,2.75719256857719,4647.17176894074,136.357378126222
"m2prob_marg_raw_interaction_spatial",-5.85892107283033,2.88307379658896,-2323.96718484874,68.2183220993601,51.2702979945148,2.86935344332728,4647.93436969749,136.43664419872
"m1centrality_between_spatial",-5.92473568001419,3.71688296825084,-2324.03299945593,68.1896733889399,47.9748463085077,2.70535755744338,4648.06599891185,136.37934677788
"m2centroid_boundary_raw_interaction_spatial",-5.99876660635694,4.16347403375367,-2324.10703038228,68.2721296180058,50.3504027615041,2.80504929402779,4648.21406076455,136.544259236012
"m2marg_spec_within_interaction_spatial",-6.18583476522711,2.91560650003383,-2324.29409854115,68.2150404108825,51.4318262441137,2.93982803285137,4648.58819708229,136.430080821765
"m2centroid_boundary_raw_additive_spatial",-6.19921861749772,3.99461974874012,-2324.30748239342,68.3034054969307,50.7474529143469,2.78269427899308,4648.61496478684,136.606810993861
"m2centroid_boundary_within_additive_spatial",-6.25890654643738,3.88031160812879,-2324.36717032236,68.2566014564256,50.4792252344399,2.83257646145627,4648.73434064471,136.513202912851
"m1spec_within_spatial",-6.67438860404084,3.67133489059798,-2324.78265237996,68.1952763133058,48.3231484073612,2.7592276236439,4649.56530475992,136.390552626612
"m1prob_within_spatial",-6.67720831723125,3.85614042216097,-2324.78547209315,68.194641268664,47.9772640126881,2.66652077049776,4649.57094418629,136.389282537328
