"model","parameter","type","Estimate","Est.Error","Q2.5","Q97.5","r2_mean"
"m1centrality_within_spatial","Intercept","fixed_effect",-2.475679962288,0.356167317166877,-3.17903800384245,-1.77882889465919,0.606086818222643
"m1centrality_within_spatial","centrality_within_z","fixed_effect",0.150683524128461,0.044325480577687,0.0652399398412399,0.235005878830481,0.606086818222643
"m1centrality_within_spatial","assay_groupSerology","fixed_effect",-0.310833690998475,0.0972919487493143,-0.49986905084916,-0.120772717818692,0.606086818222643
"m1centrality_within_spatial","sd_host_species__Intercept","hyperparameter",1.13481072592249,0.212482668165227,0.786744545551676,1.62760322709512,0.606086818222643
"m1centrality_within_spatial","sdgp_gplon_zlat_z","hyperparameter",1.87037068800704,0.714462137448249,0.919484526121641,3.73914273844485,0.606086818222643
"m1centrality_within_spatial","lscale_gplon_zlat_z","hyperparameter",0.0387748008930557,0.0166024879757333,0.0148742310643233,0.0792072838200631,0.606086818222643
"m1centrality_within_spatial","phi","hyperparameter",3.00626451804772,0.287157286878373,2.48329427543463,3.5799512265315,0.606086818222643
"m2suit_marg_raw_additive_spatial","Intercept","fixed_effect",-2.41285154207047,0.348493800420782,-3.07218654149604,-1.71488427586711,0.603223172190082
"m2suit_marg_raw_additive_spatial","Suitability_orderNorm","fixed_effect",0.157492521873263,0.0554113010262419,0.0501773434306469,0.267837630710275,0.603223172190082
"m2suit_marg_raw_additive_spatial","Marginality_orderNorm","fixed_effect",-0.178528156392224,0.0653678380022458,-0.305140363629445,-0.0500183653694068,0.603223172190082
"m2suit_marg_raw_additive_spatial","assay_groupSerology","fixed_effect",-0.314197441414198,0.0997046463971909,-0.50968671782262,-0.118278746849395,0.603223172190082
"m2suit_marg_raw_additive_spatial","sd_host_species__Intercept","hyperparameter",1.09301603716986,0.203849862867112,0.761421960875006,1.55347542379788,0.603223172190082
"m2suit_marg_raw_additive_spatial","sdgp_gplon_zlat_z","hyperparameter",1.8389941435679,0.693378903392195,0.905645625353183,3.57420677869867,0.603223172190082
"m2suit_marg_raw_additive_spatial","lscale_gplon_zlat_z","hyperparameter",0.0385988843779055,0.0159495437632429,0.0151836278413832,0.0745414262040027,0.603223172190082
"m2suit_marg_raw_additive_spatial","phi","hyperparameter",3.00031482730407,0.283834233537676,2.48697087347224,3.58907223083788,0.603223172190082
"m2suit_marg_within_additive_spatial","Intercept","fixed_effect",-2.48752513021397,0.356346179152881,-3.17621808420507,-1.77948008866727,0.603223429770311
"m2suit_marg_within_additive_spatial","Suitability_within_z","fixed_effect",0.0987940421045652,0.0412658500490926,0.0176296098172495,0.178671912616486,0.603223429770311
"m2suit_marg_within_additive_spatial","Marginality_within_z","fixed_effect",-0.141781698613964,0.0483675983550206,-0.236700040677775,-0.0489019672586303,0.603223429770311
"m2suit_marg_within_additive_spatial","assay_groupSerology","fixed_effect",-0.312863910562376,0.102003484884806,-0.511602082890594,-0.11308568145591,0.603223429770311
"m2suit_marg_within_additive_spatial","sd_host_species__Intercept","hyperparameter",1.12674050626496,0.218121291801735,0.768171377620647,1.62577011143714,0.603223429770311
"m2suit_marg_within_additive_spatial","sdgp_gplon_zlat_z","hyperparameter",1.82790193603464,0.685750513805513,0.900626751606809,3.60131584127587,0.603223429770311
"m2suit_marg_within_additive_spatial","lscale_gplon_zlat_z","hyperparameter",0.0393984396278931,0.0166142695379226,0.0151683875347061,0.0790870384527068,0.603223429770311
"m2suit_marg_within_additive_spatial","phi","hyperparameter",3.00471676270292,0.285725366911329,2.49456418304323,3.59937405419465,0.603223429770311
"m2suit_marg_raw_interaction_spatial","Intercept","fixed_effect",-2.42623477604441,0.352406351450675,-3.11229970332189,-1.72634663137014,0.601768367551521
"m2suit_marg_raw_interaction_spatial","Suitability_orderNorm","fixed_effect",0.169456038894248,0.0561839789686279,0.0587776840236035,0.275551326407243,0.601768367551521
"m2suit_marg_raw_interaction_spatial","Marginality_orderNorm","fixed_effect",-0.202696601833465,0.0671748096681296,-0.331303303241137,-0.0680739345067164,0.601768367551521
"m2suit_marg_raw_interaction_spatial","assay_groupSerology","fixed_effect",-0.313239506605426,0.0998354139694168,-0.5084478576537,-0.121720779234065,0.601768367551521
"m2suit_marg_raw_interaction_spatial","Suitability_orderNorm:Marginality_orderNorm","fixed_effect",-0.0673132104104874,0.0559076352973935,-0.17658785552699,0.0422734436405683,0.601768367551521
"m2suit_marg_raw_interaction_spatial","sd_host_species__Intercept","hyperparameter",1.08737848735533,0.205850343360216,0.749556158718737,1.55730421143367,0.601768367551521
"m2suit_marg_raw_interaction_spatial","sdgp_gplon_zlat_z","hyperparameter",1.83747420943739,0.690628339292826,0.930249268981643,3.58568253655523,0.601768367551521
"m2suit_marg_raw_interaction_spatial","lscale_gplon_zlat_z","hyperparameter",0.0383251487848716,0.0159388456310453,0.01511048762782,0.0757517626532293,0.601768367551521
"m2suit_marg_raw_interaction_spatial","phi","hyperparameter",2.99227194419003,0.289943240023632,2.47896023608882,3.58748662488142,0.601768367551521
"m2suit_marg_within_interaction_spatial","Intercept","fixed_effect",-2.49392105374007,0.354506191847004,-3.1735153338594,-1.78829042330209,0.600207169257603
"m2suit_marg_within_interaction_spatial","Suitability_within_z","fixed_effect",0.098317759186188,0.0406641449213214,0.0195451265189367,0.177581323645271,0.600207169257603
"m2suit_marg_within_interaction_spatial","Marginality_within_z","fixed_effect",-0.124033160033475,0.0553122838002019,-0.23175742904049,-0.0172870691823109,0.600207169257603
"m2suit_marg_within_interaction_spatial","assay_groupSerology","fixed_effect",-0.312404032946215,0.0980215608476225,-0.503495823004362,-0.124656227461552,0.600207169257603
"m2suit_marg_within_interaction_spatial","Suitability_within_z:Marginality_within_z","fixed_effect",0.0253745592540737,0.0412667879267542,-0.0562407038018568,0.105339374880205,0.600207169257603
"m2suit_marg_within_interaction_spatial","sd_host_species__Intercept","hyperparameter",1.11861014851429,0.209958619031199,0.773746343333936,1.58367499330567,0.600207169257603
"m2suit_marg_within_interaction_spatial","sdgp_gplon_zlat_z","hyperparameter",1.80137456877208,0.712280668944082,0.900732725249804,3.53161957930858,0.600207169257603
"m2suit_marg_within_interaction_spatial","lscale_gplon_zlat_z","hyperparameter",0.0390702647959539,0.0164401159858935,0.0147752924070574,0.0777256731891224,0.600207169257603
"m2suit_marg_within_interaction_spatial","phi","hyperparameter",2.99854558329807,0.291745761231709,2.46660490324672,3.62986179402717,0.600207169257603
