"longitude","latitude","n_records","n_assays","assays_present","n_species","species_present","total_tested","has_multiple_assays"
-96.932140683323,33.4704620081944,1,1,"Serology",1,"Baiomys taylori",1,FALSE
-96.9184077728251,33.4360884402635,1,1,"Serology",1,"Reithrodontomys fulvescens",1,FALSE
-96.9118456575819,33.046474201059,1,1,"Serology",1,"Reithrodontomys fulvescens",1,FALSE
-96.8921245433464,33.0818057273025,2,1,"Serology",2,"Baiomys taylori, Reithrodontomys fulvescens",29,FALSE
-96.8723948697851,33.1581529111227,2,1,"Serology",2,"Baiomys taylori, Reithrodontomys fulvescens",4,FALSE
-96.8524898024349,33.8008950098992,1,1,"Serology",1,"Reithrodontomys fulvescens",1,FALSE
-96.8513091042466,33.2355608041563,1,1,"Serology",1,"Reithrodontomys fulvescens",2,FALSE
-96.8465478023508,33.1524584542186,1,1,"Serology",1,"Reithrodontomys fulvescens",1,FALSE
-96.8322650130217,33.1606223177099,2,1,"Serology",2,"Baiomys taylori, Reithrodontomys fulvescens",4,FALSE
-96.7693852874054,33.2103551004416,1,1,"Serology",1,"Baiomys taylori",1,FALSE
-96.7555655674897,33.1895401619216,2,1,"Serology",2,"Baiomys taylori, Reithrodontomys fulvescens",2,FALSE
-96.726551212465,17.0726435851874,1,1,"Culture/molecular",1,"Reithrodontomys megalotis",6,FALSE
-95.7504699797837,28.987622350866,2,1,"Culture/molecular",2,"Baiomys taylori, Reithrodontomys fulvescens",11,FALSE
-94.494505,36.204825,2,1,"Serology",1,"Reithrodontomys fulvescens",2,FALSE
-94.486766,36.220001,2,1,"Serology",1,"Reithrodontomys fulvescens",24,FALSE
-94.483813,36.221895,2,1,"Serology",1,"Reithrodontomys fulvescens",28,FALSE
-94.483189,36.220177,2,1,"Serology",1,"Reithrodontomys fulvescens",26,FALSE
-94.237823,36.067821,2,1,"Serology",1,"Reithrodontomys fulvescens",8,FALSE
-94.236642,36.07097,2,1,"Serology",1,"Reithrodontomys fulvescens",8,FALSE
-94.23434,36.066548,2,1,"Serology",1,"Reithrodontomys fulvescens",58,FALSE
-94.185176,36.106388,2,1,"Serology",1,"Reithrodontomys fulvescens",76,FALSE
-94.183221,36.091799,2,1,"Serology",1,"Reithrodontomys fulvescens",2,FALSE
-94.181665,36.091834,2,1,"Serology",1,"Reithrodontomys fulvescens",2,FALSE
-94.1356861406244,30.1004681716944,2,1,"Serology",2,"Baiomys taylori, Reithrodontomys fulvescens",10,FALSE
-94.1130321947284,29.972174938934,1,1,"Serology",1,"Baiomys taylori",1,FALSE
-94.061108,36.447213,2,1,"Serology",1,"Reithrodontomys fulvescens",4,FALSE
-94.055339,36.453139,2,1,"Serology",1,"Reithrodontomys fulvescens",6,FALSE
-94.013921157605,29.9443698252787,1,1,"Serology",1,"Reithrodontomys fulvescens",7,FALSE
-80.8510811336288,7.9712467910542,1,1,"Serology",1,"Zygodontomys brevicauda",50,FALSE
